行政區,型式,停車場名稱,停車場位置,座標-經度,座標-緯度,大型車,小型車,機車,腳踏車,收費標準,備  註
前鎮區,立體,民權,泰山街1號,120.3158595,22.6082988,,479,,,計時30元、月票1200元,詮營股份有限公司/服務電話:02-77310370/履約期間:104.10.1-109.9.30
前鎮區,路邊,明義,草衙二路與中平路口,120.324232,22.576667,,32,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,正勤(中山),中山三路&正勤路口旁,120.3083195,22.60387013,,63,177,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-114.10.31
前鎮區,平面,君毅,正勤路旁(靠近君毅正勤社區之正勤路出入口),120.3038169,22.60214704,,47,,,小型車計次30元/6小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.4.1-113.3.31
前鎮區,平面,前鎮貨櫃車,翠亨南路&金福路口旁台糖高雄大型車輛停車場內,120.325566,22.57643227,28,,,,大型車月票,三力通運有限公司/服務電話:(07)8219223/履約期間:108.9.1-113.8.31
前鎮區,平面,英德街,和平二路&英德街口旁,120.3223473,22.61386217,,85,25,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)7161838/履約期間:106.6.1-110.4.30
前鎮區,平面,沱江,管仲路&沱江街口,120.3119926,22.60667281,,78,,,小型車計時15元/半小時,國雲科技股份有限公司/服務電話：0800-779979/履約期間:107.4.16-111.7.15
前鎮區,平面,新光,成功路高雄展覽館旁,120.299849,22.607547,69,911,578,,小型車週一至週五15元/半小時(未滿30分鐘者以30分鐘計算)，機車15元/日(跨日另再計費)；週六、日及國定假日：小型車20元/半小時(未滿30分鐘者以30分鐘計算)、機車30元/日(跨日另再計費),
前鎮區,平面,正勤(中華),正勤路、中華五路,120.3070071,22.60342845,4,58,,,小型車計時15元/半小時;大型車計時30元/半小時(08：00~22：00),
前鎮區,平面,民權二路,民權二路、衡山街,120.313094,22.609261,,47,,,計時15元/半小時(08：00~22：00),
前鎮區,平面,獅甲,復興三路近中華五路,120.303883,22.606232,,46,17,,計時15元/半小時(08：00~22：00),
前鎮區,平面,瑞昌,瑞隆路190巷4弄、瑞福路口,120.335735,22.606381,,11,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,德昌,德昌路、同安路,120.317067,22.583756,,43,16,,計次30元/6小時(08：00~20：00),
前鎮區,平面,后安,后安路、天倫街,120.321956,22.573622,,73,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,向榮,向榮街、崇安街,120.331,22.571564,,17,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞泰,瑞泰街近瑞福路,120.335052,22.607057,,26,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞北,瑞北路、瑞恩街,120.329566,22.608906,,27,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,管仲,管仲路、光華三路,120.313771,22.604613,,229,50,,計次30元/6小時(08：00~20：00),
前鎮區,平面,光華,光華三路、ㄧ心一路203巷,120.316827,22.606806,,212,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞福,瑞福路、瑞安街口,120.33541,22.607753,,31,26,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞安,瑞福路、瑞安街口,120.3351294,22.60781884,,24,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞隆,瑞泰街近瑞福路口,120.33532,22.606998,,21,18,,計次30元/6小時(08：00~20：00),
前鎮區,平面,鎮興,凱旋四路、鎮興路口,120.311334,22.592822,,65,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,時代大道,中華五路與時代大道口,120.308948,22.596406,,48,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,鎮賢,鎮賢街52巷旁,120.309262,22.589858,,23,20,,計次30元/6小時(08：00~20：00),
前鎮區,平面,瑞豐,瑞福路瑞豐國小對面,120.33581,22.606554,,14,16,,計次30元/6小時(08：00~20：00),
前鎮區,平面,鎮榮街,鎮榮街、鎮華街,120.30977,22.588912,,32,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,鎮榮街第二,鎮榮街、鎮華街,120.3097024,22.58873356,,28,,,計次30元/6小時(08：00~20：00),
前鎮區,平面,凱旋三路,凱旋三路與賢明路,120.325154,22.60844,,24,22,,計次30元/6小時(08：00~20：00),
前鎮區,平面,前鎮高中站機車,鎮中路、翠亨北路口,120.322356,22.587416,,,188,132,不收費,
前鎮區,平面,興化,興化街、新生路口,120.310491,22.583048,,39,,,計次30元/6小時(08：00~20：00),
旗津區,平面,中洲,中洲二路、中洲二路204號旁,120.291044,22.582749,,23,40,,假日(五、六、日)計次30元/6小時,
旗津區,平面,中興市場,廣澤街、商港街,120.296518,22.573949,,18,,,假日(五、六、日)計次30元/6小時,
旗津區,平面,旗津海岸,旗津海水浴場旁,120.26927,22.608677,22,92,,,小型車假日(五、六、日及國定假日)計時25元/半小時，週一至週四計次50元/6小時。大客車假日(五、六、日及國定假日)第1小時，每30分鐘收費50元，第2小時起(含)，每30分鐘收費100元，停車時數未滿30分鐘者，以30分鐘計費；週一至週四計次100元/6小時。,
旗津區,平面,旗津老街,發祥街與旗津三路口,120.268098,22.610511,,105,,,小型車假日(五、六、日及國定假日)計時25元/半小時，停車時數未滿30分鐘者，以30分鐘計費；週一至週四計次50元/6小時。,
小港區,立體,小港,小港路175號,120.338011,22.564404,,219,,,計時20元、月票1200元,竑穗興業股份有限公司/服務電話：(07)815-9068/履約期間:106.5.1-111.4.30
小港區,平面,松崗,松崗路、松崗路18巷,120.374217,22.574795,,19,14,,計次30元/6小時(08：00~20：00),
小港區,平面,中光,中光街、中光街22巷,120.355798,22.571586,,25,,,計次30元/6小時(08：00~20：00),
小港區,平面,店北,店北路、店鳳街,120.351518,22.562744,,21,,,計次30元/6小時(08：00~20：00),
小港區,平面,二苓,二苓路176巷,120.349662,22.566126,,12,24,,計次30元/6小時(08：00~20：00),
小港區,平面,平和,平和路、平和南路,120.335809,22.562514,,46,,,計次30元/6小時(08：00~20：00),
小港區,平面,華山,華山路、華仁街口,120.366209,22.568078,,31,,,計次30元/6小時(08：00~20：00),
小港區,平面,高坪23路,高坪23路、高坪32街,120.388886,22.561164,,27,,,不收費,
小港區,平面,高坪7路,高坪7路、高坪22路,120.381135,22.556462,,62,,,不收費,
小港區,平面,鳳興,鳳盛街38號對面,120.348137,22.524321,,17,,,不收費,
小港區,平面,龍鳳,龍鳳街、朝福街,120.357175,22.513435,,30,,,不收費,
小港區,平面,鳳陽,鳳陽街18巷、及6巷中間,120.370225,22.562484,,20,,,不收費,
大寮區,平面,大寮停二,中山高級工商職業學校對面,120.3943086,22.601793,29,192,,,大型車計時20元/半小時；小型車計時10元/半小時,南半球旅遊巴士有限公司/服務電話:(07)3611185；0919707567/履約期間:109.7.1-110.6.30
大寮區,平面,仁德116,大寮地政對面,120.3943086,22.601793,,145,103,,不收費,
林園區,立體,林園,林園區林園南路77號,120.3958744,22.5027529,,244,,,計時10元、月票800元,竑穗興業股份有限公司/服務電話：(07)646-0526/履約期間:108.7.1~113.6.30
林園區,平面,田中央,東林西路249巷,120.388879,22.501031,,45,,,不收費,
